date,total_revenue,cost_of_revenue,gross_profit,premium_revenue,premium_cost_revenue,premium_gross_profit,ad_revenue,ad_cost_of_revenue,ad_gross_profit,maus,premium_maus,ad_maus,premium_arpu,sales_and_marketing_cost,research_and_development_cost,general_and_administrative_cost
2023-03-31,0.9452296819787986,0.9440251572327043,0.964080459770115,0.9978824775013234,0.9984038308060657,0.996969696969697,0.6799999999999999,0.7433628318584071,0.10344827586206895,1.0,1.0,1.0,0.14184397163120588,0.6909620991253644,1.0000000000000002,0.7596899224806201
2022-12-31,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,0.6724137931034483,0.9322916666666667,0.9683544303797469,0.9063829787234041,0.30496453900709186,1.0,0.9436619718309859,0.9457364341085271
2022-09-30,0.9425795053003534,0.9503144654088049,0.9267241379310344,0.965060878771837,0.9752593774940144,0.9469696969696969,0.8293333333333333,0.8584070796460177,0.39655172413793105,0.8463541666666667,0.9050632911392404,0.8127659574468085,0.3617021276595742,0.9387755102040816,0.8619718309859156,0.9147286821705426
2022-06-30,0.86660777385159,0.871069182389937,0.8606321839080461,0.8872419269454738,0.8922585794094176,0.8818181818181817,0.7626666666666666,0.7935103244837758,0.3448275862068966,0.7864583333333333,0.860759493670886,0.778723404255319,0.2978723404255317,0.8192419825072887,0.7211267605633803,0.9999999999999999
2022-03-31,0.7769434628975265,0.7641509433962264,0.8132183908045977,0.8210693488618318,0.8124501197126897,0.8439393939393939,0.5546666666666666,0.5870206489675516,0.20689655172413793,0.7578125,0.8227848101265822,0.7234042553191489,0.18439716312056698,0.5422740524781342,0.47887323943661975,0.689922480620155
2021-12-31,0.7893109540636043,0.7559748427672954,0.8721264367816092,0.7766013763896241,0.7494014365522745,0.8363636363636363,0.8533333333333333,0.7817109144542773,1.0,0.7161458333333333,0.8101265822784811,0.6553191489361703,0.19858156028368823,0.6705539358600583,0.48732394366197185,0.6511627906976744
2021-09-30,0.7062720848056538,0.6654088050314464,0.8089080459770115,0.7146638433033351,0.6855546687948924,0.7803030303030303,0.6639999999999999,0.5929203539823009,0.8793103448275862,0.6510416666666667,0.759493670886076,0.5872340425531914,0.1560283687943258,0.4956268221574344,0.3605633802816901,0.4883720930232558
2021-06-30,0.6311837455830389,0.5616352201257861,0.8017241379310345,0.6500794070937005,0.5881883479648844,0.7803030303030303,0.5359999999999999,0.4660766961651917,0.7931034482758621,0.609375,0.7151898734177216,0.5446808510638299,0.12056737588652489,0.4927113702623907,0.49295774647887325,0.5813953488372092
2021-03-31,0.5499116607773851,0.5182389937106917,0.6364942528735632,0.5839068290100583,0.564245810055866,0.6363636363636364,0.3786666666666666,0.35103244837758113,0.4482758620689655,0.5859375,0.6708860759493671,0.5361702127659576,0.0,0.3673469387755102,0.3267605633802817,0.4651162790697674
2020-12-31,0.5591872791519434,0.5144654088050313,0.6752873563218391,0.5606140815246162,0.5235434956105347,0.646969696969697,0.5519999999999999,0.4837758112094395,0.7931034482758621,0.5572916666666667,0.6518987341772152,0.4978723404255319,0.09929078014184389,0.5364431486880465,0.428169014084507,0.5891472868217054
2020-09-30,0.4739399293286219,0.4471698113207546,0.5517241379310345,0.5092641609317099,0.4916201117318437,0.5606060606060606,0.29599999999999993,0.2861356932153392,0.29310344827586204,0.49218749999999994,0.5822784810126582,0.43829787234042555,0.04964539007092217,0.42565597667638483,0.2704225352112676,0.4263565891472868
2020-06-30,0.4359540636042403,0.39937106918238985,0.5373563218390804,0.49232398094229757,0.4604948124501198,0.5712121212121212,0.152,0.17699115044247787,0.0,0.43749999999999994,0.5443037974683544,0.374468085106383,0.20567375886524797,0.40233236151603496,0.5267605633802817,0.689922480620155
2020-03-31,0.4178445229681979,0.3779874213836477,0.5272988505747126,0.4616199047114876,0.42537909018355957,0.5499999999999999,0.19733333333333333,0.20648967551622416,0.12068965517241378,0.4036458333333333,0.49367088607594933,0.3446808510638298,0.21276595744680815,0.3527696793002915,0.23098591549295774,0.41860465116279066
2019-12-31,0.42093639575971725,0.38113207547169803,0.5301724137931034,0.4287983059820011,0.4014365522745412,0.5015151515151515,0.3813333333333333,0.30973451327433627,0.7068965517241379,0.3645833333333333,0.45569620253164556,0.30212765957446813,0.375886524822695,0.48396501457725943,0.2619718309859155,0.4651162790697674
2019-09-30,0.3661660777385159,0.3238993710691823,0.48275862068965514,0.38803599788247756,0.36392657621707913,0.45606060606060606,0.256,0.1799410029498525,0.6551724137931034,0.30468749999999994,0.38607594936708867,0.251063829787234,0.3900709219858154,0.19825072886297374,0.15774647887323948,0.24031007751937983
2019-06-30,0.3378975265017668,0.28805031446540874,0.4727011494252874,0.3568025410269985,0.32162809257781333,0.4469696969696969,0.24266666666666667,0.16814159292035397,0.6379310344827587,0.2630208333333333,0.35443037974683544,0.2,0.5248226950354611,0.2623906705539359,0.20000000000000004,0.3410852713178294
2019-03-31,0.2689929328621908,0.22830188679245278,0.38505747126436785,0.29486500794070936,0.2689545091779729,0.36969696969696964,0.13866666666666663,0.08259587020648967,0.46551724137931033,0.22395833333333331,0.30379746835443044,0.17446808510638295,0.41843971631205656,0.1807580174927113,0.21126760563380284,0.39534883720930225
2018-12-31,0.26192579505300356,0.20188679245283014,0.4224137931034483,0.26045526733721547,0.2178770949720671,0.36818181818181817,0.2693333333333333,0.17699115044247787,0.7586206896551724,0.19791666666666669,0.2784810126582279,0.14468085106382977,0.5460992907801416,0.15451895043731778,0.05633802816901409,0.0
2018-09-30,0.19876325088339225,0.14779874213836475,0.34051724137931033,0.20222339862361038,0.16600159616919397,0.29999999999999993,0.18133333333333332,0.08554572271386429,0.7241379310344828,0.15625,0.2215189873417721,0.1148936170212766,0.4326241134751774,0.10495626822157433,0.15492957746478872,0.1937984496124031
2018-06-30,0.16386925795053003,0.1062893081761006,0.3218390804597701,0.1704605611434622,0.12370311252992827,0.2893939393939394,0.13066666666666668,0.0471976401179941,0.6206896551724138,0.12760416666666669,0.19620253164556967,0.08085106382978724,0.5460992907801416,0.18367346938775514,0.17746478873239438,0.4728682170542635
2018-03-31,0.1046819787985866,0.05094339622641508,0.2557471264367816,0.11064055055584965,0.06464485235434958,0.23030303030303031,0.07466666666666663,0.005899705014749235,0.5,0.1015625,0.14556962025316456,0.07234042553191489,0.42553191489361675,0.08163265306122447,0.09859154929577466,0.22480620155038755
2017-12-31,0.2416077738515901,0.05786163522012577,0.6853448275862069,0.10058231868713607,0.05985634477254598,0.2106060606060606,0.14933333333333335,0.05604719764011795,0.6896551724137931,0.07552083333333331,0.12025316455696206,0.046808510638297884,0.7943262411347516,0.18367346938775514,0.12112676056338031,0.24031007751937983
2017-09-30,0.05742049469964666,0.016981132075471694,0.1795977011494253,0.05029115934356804,0.01995211492418203,0.14242424242424243,0.09333333333333335,0.011799410029498525,0.5862068965517242,0.049479166666666685,0.06329113924050633,0.03829787234042553,0.6666666666666661,0.08163265306122447,0.05070422535211269,0.1937984496124031
2017-06-30,0.046378091872791516,0.0,0.18247126436781608,0.04023292747485446,0.0,0.15151515151515152,0.07733333333333334,0.005899705014749235,0.5172413793103448,0.018229166666666685,0.044303797468354444,0.004255319148936176,1.0,0.10495626822157433,0.04225352112676059,0.21705426356589141
2017-03-31,0.0,0.01383647798742138,0.0,0.0,0.019154030327214744,0.0,0.0,0.0,0.051724137931034475,0.0,0.0,0.0,0.9503546099290778,0.0,0.0,0.09302325581395343
